"rebel_names","rebel_coverages"
"1284_1","125.250408096637"
"1284_2","114.586397605408"
"1295_1","110.225588091865"
"1295_2","120.284376762549"
"1286_1","107.065514403292"
"1309_4","108.19650456912"
"1309_5","106.332193888015"
"1310_1E_1","107.785838459481"
"1310_1","108.047793459004"
"1310_5","108.255187864987"
